,MD-W Line,,,,,,,,,,,,,,,"function getDistanceFromLatLonInKm(lat1,lon1,lat2,lon2) {",,
,,,,,UP-NW Line,10,feet,,,,,,,,,var R = 6371; // Radius of the earth in km,,
,Length,40.0000,miles,(M),,,,Earth Radius,3959,miles,,,,,,var dLat = deg2rad(lat2-lat1);,,
,,6.3291,feet,(F),,,,,,,,,,,,var dLon = deg2rad(lon2-lon1);,,
,Miles Per Foot,6.3200,"(for accurate scaling of each line, this will be used for all other lines, and F will be calculated)",,,,,,,,,,,,,var a = Math.sin(dLat/2) * Math.sin(dLat/2) + Math.cos(deg2rad(lat1)) * Math.cos(deg2rad(lat2)) * Math.sin(dLon/2) * Math.sin(dLon/2);,,
,,,,,,,,,,,,,,,,"var c = 2 * Math.atan2(Math.sqrt(a), Math.sqrt(1-a));",,
,LED Spacing,0.656,inches,,,,,,,,,,,,,var d = R * c; // Distance in km,,
,,0.0547,feet,(FLED),,,,,,,,,,,,,,
,,0.3455,miles,(MLED),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,From KML – Line Segments from Simplified Files,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Main,,,,,,,,,,,,,,,,,
,lon,lat,segment,dlon (rad),dlat (rad),a,c,length (miles),(M-MO)/MLED,num LEDs,Remainder (MR),Offset (MO),double check,dlon(offset) (deg),dlat(offset) (deg),dlon(LED) (deg),dlat(LED) (deg),segment
0,-87.639177,41.880523,,,,,,,,,,,,,,,,
1,-87.6394844,41.8875504,0,-5.37E-06,1.23E-04,0.000000003764822051,0.0001227162916,0.48583,1.40620,2,0.1403,0,0.4858,0.0000000E+00,0.0000000E+00,-2.1860285E-04,4.9974289E-03,0
2,-87.651499,41.888496,1,-2.10E-04,1.65E-05,0.000000006160456993,0.0001569771576,0.62147,1.20500,2,0.0708,0.2052,0.6215,-3.9661118E-03,3.1214982E-04,-6.6792396E-03,5.2568450E-04,1
3,-87.661269,41.888658,2,-1.71E-04,2.83E-06,0.00000000403054831,0.000126973199,0.50269,0.65998,1,0.2280,0.2747,0.5027,-5.3383056E-03,8.8516429E-05,-6.7148555E-03,1.1134151E-04,2
4,-87.6867342,41.8883811,3,-4.44E-04,-4.83E-06,0.00000002737456353,0.0003309052057,1.31005,3.45182,4,0.1561,0.1175,1.3101,-2.2834818E-03,-2.4829811E-05,-6.7157986E-03,-7.3025330E-05,3
5,-87.706089,41.8964315,4,-3.38E-04,1.41E-04,0.00000002074377323,0.0002880539767,1.14041,2.75262,3,0.2600,0.1894,1.1404,-3.2143510E-03,1.3369713E-03,-5.8636627E-03,2.4389211E-03,4
6,-87.7144575,41.9025645,5,-1.46E-04,1.07E-04,0.00000000581909812,0.0001525660268,0.60401,1.50087,2,0.1730,0.0855,0.6040,-1.1841438E-03,8.6782028E-04,-4.7867854E-03,3.5080785E-03,5
7,-87.7191353,41.908122,6,-8.16E-05,9.70E-05,0.000000003275116632,0.0001144572695,0.45314,0.81244,1,0.2807,0.1724,0.4531,-1.7801788E-03,2.1149566E-03,-3.5665838E-03,4.2373102E-03,6
8,-87.7223969,41.9135194,7,-5.69E-05,9.42E-05,0.000000002667184212,0.0001032895777,0.40892,0.99603,1,0.3441,0.0648,0.4089,-5.1686583E-04,8.5532610E-04,-2.7556773E-03,4.5601830E-03,7
9,-87.738451,41.913513,8,-2.80E-04,-1.12E-07,0.0000000108690707,0.0002085096712,0.82549,2.38534,3,0.1331,0.0014,0.8255,-2.6682651E-05,-1.0637094E-08,-6.7191437E-03,-2.6786005E-06,8
10,-87.7655268,41.9167448,9,-4.73E-04,5.64E-05,0.00000003170980946,0.0003561449693,1.40998,3.46639,4,0.1611,0.2124,1.4100,-4.0779906E-03,4.8675386E-04,-6.6345069E-03,7.9190272E-04,9
11,-87.7867699,41.9163616,10,-3.71E-04,-6.69E-06,0.00000001904013224,0.0002759719722,1.09257,2.62875,3,0.2172,0.1844,1.0926,-3.5844992E-03,-6.4660059E-05,-6.7174909E-03,-1.2117546E-04,10
12,-87.8053093,41.9232271,11,-3.24E-04,1.20E-04,0.00000001808147352,0.0002689347403,1.06471,2.71047,3,0.2455,0.1283,1.0647,-2.2334179E-03,8.2707804E-04,-6.0159323E-03,2.2278166E-03,11
13,-87.8193426,41.925973,12,-2.45E-04,4.79E-05,0.000000008876323417,0.0001884284845,0.74599,1.86966,2,0.3005,0.1000,0.7460,-1.8817696E-03,3.6820641E-04,-6.4993126E-03,1.2717224E-03,12
14,-87.8442764,41.9330929,13,-4.35E-04,1.24E-04,0.00000003006519571,0.0003467863666,1.37293,3.84348,4,0.2914,0.0450,1.3729,-8.1779636E-04,2.3352350E-04,-6.2745217E-03,1.7917031E-03,13
15,-87.857523,41.933874,14,-2.31E-04,1.36E-05,0.000000007441790172,0.0001725316225,0.68305,1.82052,2,0.2835,0.0541,0.6831,-1.0487151E-03,6.1838614E-05,-6.7002327E-03,3.9508642E-04,14
16,-87.8841448,41.9418081,15,-4.65E-04,1.38E-04,0.00000003465901544,0.0003723386407,1.47409,4.08714,5,0.0301,0.0620,1.4741,-1.1198962E-03,3.3376286E-04,-6.2395530E-03,1.8595751E-03,15
17,-87.8995514,41.9481601,16,-2.69E-04,1.11E-04,0.00000001307279537,0.0002286726519,0.90532,1.70749,2,0.2444,0.3154,0.9053,-5.3672603E-03,2.2128723E-03,-5.8795860E-03,2.4240994E-03,16
18,-87.9248714,41.95432,17,-4.42E-04,1.08E-04,0.00000002989399901,0.0003457976247,1.36901,3.66998,4,0.2315,0.1011,1.3690,-1.8691116E-03,4.5472120E-04,-6.3899265E-03,1.5545540E-03,17
19,-87.9731083,41.9617239,18,-8.42E-04,1.29E-04,0.0000001021626297,0.0006392577984,2.53082,6.99522,7,0.3438,0.1140,2.5308,-2.1732051E-03,3.3356607E-04,-6.5850265E-03,1.0107382E-03,18
20,-87.9957247,41.9692865,19,-3.95E-04,1.32E-04,0.0000000258911986,0.0003218148463,1.27406,3.68289,4,0.2359,0.0017,1.2741,-2.9328624E-05,9.8070714E-06,-6.1329803E-03,2.0507807E-03,19
21,-88.0119467,41.971169,20,-2.83E-04,3.29E-05,0.00000001134775552,0.0002130516892,0.84347,2.12424,3,0.0429,0.1096,0.8435,-2.1071143E-03,2.4452242E-04,-6.6446726E-03,7.7108841E-04,20
22,-88.037178,41.975504,21,-4.40E-04,7.57E-05,0.00000002822801809,0.0003360239179,1.33032,2.97473,3,0.3368,0.3026,1.3303,-5.7386301E-03,9.8595639E-04,-6.5527501E-03,1.1258307E-03,21
23,-88.1074333,41.9896404,22,-1.23E-03,2.47E-04,0.0000002229190438,0.0009442861015,3.73843,10.79528,11,0.2748,0.0087,3.7384,-1.6406467E-04,3.3012225E-05,-6.4927647E-03,1.3064398E-03,22
24,-88.1503916,41.9881093,23,-7.50E-04,-2.67E-05,0.000000077818904,0.0005579208045,2.20881,6.18848,7,0.0651,0.0707,2.2088,-1.3755668E-03,-4.9027320E-05,-6.7193722E-03,-2.3948878E-04,23
25,-88.1949806,41.9936274,24,-7.78E-04,9.63E-05,0.0000000859603401,0.0005863798856,2.32148,5.90780,6,0.3136,0.2804,2.3215,-5.3851707E-03,6.6644039E-04,-6.6359459E-03,8.2122975E-04,24
26,-88.2117176,41.9995916,25,-2.92E-04,1.04E-04,0.00000001449159354,0.0002407620702,0.95318,2.66669,3,0.2303,0.0319,0.9532,-5.5934937E-04,1.9932315E-04,-6.0665770E-03,2.1618139E-03,25
27,-88.230772,42.002143,26,-3.33E-04,4.45E-05,0.00000001576508136,0.000251118151,0.99418,2.54424,3,0.1880,0.1152,0.9942,-2.2071206E-03,2.9553528E-04,-6.6217281E-03,8.8665490E-04,26
28,-88.258474,42.012514,27,-4.83E-04,1.81E-04,0.00000004045837355,0.000402285342,1.59265,4.15402,5,0.0532,0.1575,1.5926,-2.7388313E-03,1.0253563E-03,-6.0093996E-03,2.2497828E-03,27
